num,County
1469,McKinley
1470,McKittrick
1471,McLean
1472,McLennan
1473,McLeod
1474,McMinn
1475,McMullen
1476,McNairy
1477,McPherson
1478,Meade
1479,Meadow Bridge
1480,Meagher
1481,Mecklenburg
1482,Mecosta
1483,Medina
1484,Meeker
1485,Meigs
1486,Mellette
1487,Memphis
1488,Menard
1489,Mendocino
1490,Menifee
1491,Menominee
1492,Merced
1493,Mercer
1494,Meriden
1495,Meridian
1496,Meriwether
1497,Merrick
1498,Merrimack
1499,Mesa
1500,Metcalfe
1501,Miami
1502,Miami-Dade
1503,Mid Florida
1504,Middleburg
1505,Middlesex
1506,Middleville
1507,Midland
1508,Mifflin
1509,Migrate
1510,Milam
1511,Milan
1512,Milford
1513,Millard
1514,Mille Lacs
1515,Milledgeville
1516,Miller
1517,Millers
1518,Millers Creek
1519,Millers Ferry
1520,Mills
1521,Mills River
1522,Milwaukee
1523,Miner
1524,Mineral
1525,Mineral Wells
1526,Mingo
1527,Minidoka
1528,Minneapolis
1529,Minnehaha
1530,Minturn
1531,Mira
1532,Missaukee
1533,Mississippi
1534,Missoula
1535,Mitchell
1536,Moapa
1537,Mobile
1538,Mobjack
1539,Modoc
1540,Moffat
1541,Mohave
1542,Monango
1543,Moniteau
1544,Monmouth
1545,Mono
1546,Monona
1547,Monongalia
1548,Monroe
1549,Montague
1550,Montcalm
1551,Monterey
1552,Montezuma
1553,Montgomery
1554,Monticello
1555,Montmorency
1556,Montour
1557,Montpelier
1558,Montrose
1559,Moody
1560,Moon
1561,Moore
1562,Mora
1563,Morehouse
1564,Morgan
1565,Morrill
1566,Morris
1567,Morrison
1568,Morrow
1569,Morton
1570,Motley
1571,Moultrie
1572,Mount Sunapee
1573,Mountrail
1574,Mower
1575,Moyers
1576,Muhlenberg
1577,Multnomah
1578,Munfordville
1579,Murray
1580,Muscatine
1581,Muscogee
1582,Muskegon
1583,Muskingum
1584,Muskogee
1585,Musselshell
1586,Myrtle
1587,Nacogdoches
1588,Nance
1589,Nantucket
1590,Napa
1591,Naples
1592,Narrows
1593,Nash
1594,Nassau
1595,Natchitoches
1596,National City
1597,Natrona
1598,Navajo
1599,Navarre
1600,Navarro
1601,Naxera
1602,Neafus
1603,Nelson
1604,Nemaha
1605,Neosho
1606,Neshoba
1607,Ness
1608,Nevada
1609,New Almelo
1610,New Castle
1611,New Eagle
1612,New Hanover
1613,New Hartford
1614,New Haven
1615,New Kent
1616,New London
1617,New Madrid
1618,New York
1619,New York City
1620,Newaygo
1621,Newberne
1622,Newberry
1623,Newport
1624,Newport News
1625,Newport News (city)
1626,Newton
1627,Nez Perce
1628,Niagara
1629,Niarada
1630,Nicholas
1631,Nicollet
1632,Nicut
1633,Nikep
1634,Niobrara
1635,Noble
1636,Nobles
1637,Nocatee
1638,Noctor
1639,Nodaway
1640,Nolan
1641,Nome (CA)
1642,Norfolk
1643,Norfolk (city)
1644,Norman
1645,North Brooklin
1646,North Clymer
1647,North Las Vegas
1648,North Lawrence
1649,North Little Rock
1650,North Metro
1651,North Port
1652,North Shapleigh
1653,North Slope
1654,North Waltham
1655,North Western
1656,Northampton
1657,Northland
1658,Northumberland
1659,Northwest Arctic
1660,Norton
1661,Norton Hill
1662,Nottoway
1663,Nowata
1664,Noxubee
1665,Nuangola
1666,Nuckolls
1667,Nueces
1668,Numa
1669,Nye
1670,O Fallon
1671,O'Brien
1672,Oakdale
1673,Oakhill
1674,Oakland
1675,Oakville
1676,Obion
1677,Ocean
1678,Oceana
1679,Ochiltree
1680,Ochopee
1681,Oconee
1682,Oconto
1683,Octavia
1684,Odanah
1685,Odessa
1686,Odin
1687,Offutt
1688,Ogemaw
1689,Ogle
1690,Oglethorpe
1691,Ohio
1692,Okaloosa
1693,Okanogan
1694,Okatie
1695,Okeechobee
1696,Okfuskee
1697,Oklahoma
1698,Oklahoma City
1699,Okmulgee
1700,Oktibbeha
1701,Oldham
1702,Oldtown
1703,Oliver
1704,Olmsted
1705,Omaha
1706,Onchiota
1707,Oneida
1708,Onondaga
1709,Onslow
1710,Ontario
1711,Ontonagon
1712,Orange
1713,Orangeburg
1714,Oregon
1715,Orlando
1716,Orlean
1717,Orleans
1718,Osage
1719,Osborne
1720,Osceola
1721,Oscoda
1722,Oshoto
1723,Oswego
1724,Otero
1725,Otisco
1726,Otoe
1727,Otsego
1728,Ottawa
1729,Otter Tail
1730,Ouachita
1731,Ouray
1732,Outagamie
1733,Oven Fork
1734,Overly
1735,Overton
1736,Ovid
1737,Owasco
1738,Owen
1739,Owsley
1740,Owyhee
1741,Oxford
1742,Ozark
1743,Ozaukee
1744,Pacific
1745,Paeonian Springs
1746,Page
1747,Palatine
1748,Palermo
1749,Palisades
1750,Palm Beach
1751,Palo Alto
1752,Palo Pinto
1753,Pamlico
1754,Panola
1755,Paris
1756,Park
1757,Parke
1758,Parker
1759,Parkville
1760,Parmer
1761,Parrot
1762,Parrott
1763,Pasadena
1764,Pasco
1765,Pasquotank
1766,Passaic
1767,Patrick
1768,Paulding
1769,Pawnee
